Color Group Name,MENS SHIRTS,WOMENS SHIRTS,URL - Collections,Color group description,Color Set name,Item Name ORGANO,Color name URL
,,,,,BLUE PRINTED,Sapphire Sketch,
,,,,,BLUE PRINTED,Cerulean Tapestry,
,,,,,DUNE DUST,Sandy Haze,https://organolinen.com/collections/dune-dust-shirts-linen
,,,,,DUNE DUST,Toasted Earth,https://organolinen.com/collections/dune-dust-shirts-linen
,,,,,DUNE DUST,Amberglow Yellow,https://organolinen.com/collections/dune-dust-shirts-linen
,,,,,DUNE DUST,Sunbaked Moon,https://organolinen.com/collections/dune-dust-shirts-linen
,,,,,DUNE DUST,Sunbaked Earth,https://organolinen.com/collections/dune-dust-shirts-linen
,,,,,DUNE DUST,Desert Glow,https://organolinen.com/collections/dune-dust-shirts-linen
,,,,,HARVEST AUTUMN,Pink Saffron,https://organolinen.com/collections/harvest-autumn-linen-shirting-collection
,,,,,HARVEST AUTUMN,Peach Glow,https://organolinen.com/collections/harvest-autumn-linen-shirting-collection
,,,,,HARVEST AUTUMN,Pumpkin,https://organolinen.com/collections/harvest-autumn-linen-shirting-collection
,,,,,HARVEST AUTUMN,Cantaloupe,https://organolinen.com/collections/harvest-autumn-linen-shirting-collection
,,,,,HARVEST AUTUMN,Tangerine,https://organolinen.com/collections/harvest-autumn-linen-shirting-collection
,,,,,DUNE EARTH,Harvest Terra,https://organolinen.com/collections/dune-earth-linen-shirts
,,,,,DUNE EARTH,Autumn Wheat,https://organolinen.com/collections/dune-earth-linen-shirts
,,,,,DUNE EARTH,Honey Oat,https://organolinen.com/collections/dune-earth-linen-shirts
,,,,,DUNE EARTH,Maple Oat,https://organolinen.com/collections/dune-earth-linen-shirts
,,,,,FROSTED SKY,Glacier Blue,https://organolinen.com/collections/frosted-sky-shirting-linen
,,,,,FROSTED SKY,Azure Lagoon,https://organolinen.com/collections/frosted-sky-shirting-linen
,,,,,FROSTED SKY,Icewashed,https://organolinen.com/collections/frosted-sky-shirting-linen
,,,,,FROSTED SKY,Arctic Whisper,https://organolinen.com/collections/frosted-sky-shirting-linen
,,,,,FROSTED SKY,Prato,https://organolinen.com/collections/frosted-sky-shirting-linen
,,,,,FROSTED SKY,Celestial,https://organolinen.com/collections/frosted-sky-shirting-linen
,,,,,MOONLIT CLOUD,Beige,https://organolinen.com/collections/moonlit-cloud-shirt-linen
,,,,,MOONLIT CLOUD,Ivory,https://organolinen.com/collections/moonlit-cloud-shirt-linen
,,,,,MOONLIT CLOUD,Cream,https://organolinen.com/collections/moonlit-cloud-shirt-linen
,,,,,MOONLIT CLOUD,Feather White,https://organolinen.com/collections/moonlit-cloud-shirt-linen
,,,,,MOONLIT CLOUD,Orion White,https://organolinen.com/collections/moonlit-cloud-shirt-linen
