FABRIC TYPE,Item Name ORGANO,Details,,,URL,URL - Old,
SHIRTING,Lemonade,Pink,24 February 2025,LIVE,https://organolinen.com/products/linen-fabric-pink,https://organolinen.com/products/mens-heavy-linen-shirt-canvas,
SHIRTING,Pink,Pink,18 November 2024,,,https://organolinen.com/products/pure-linen-shirt-women-sasha,
SHIRTING,Blush,Pink,18 November 2024,,,https://organolinen.com/products/linen-shirt-men-concord-pure-linen,
SHIRTING,Honey,Yellow,18 November 2024,,,https://organolinen.com/products/womens-linen-shirt-concord-purelinen,
SHIRTING,Amber,Yellow,18 November 2024,,,https://organolinen.com/products/ezra-linen-cuff-shirt,
SHIRTING,Khaki,Yellow,24 February 2025,LIVE,https://organolinen.com/products/pure-linen-fabrics-yellow,https://organolinen.com/products/myra-sleeveless-linen-shirt,
SHIRTING,Granola,Yellow,24 February 2025,LIVE,https://organolinen.com/products/pure-linen-fabrics-yellow,https://organolinen.com/products/tanya-linen-shirt-women,
SHIRTING,Macaroon,Yellow,24 February 2025,LIVE,https://organolinen.com/products/pure-linen-fabrics-yellow,https://organolinen.com/products/mens-linen-shirt-green-forrest,https://organolinen.com/search?q=granola&options%5Bprefix%5D=last
SHIRTING,Sun,Yellow,24 February 2025,LIVE,https://organolinen.com/products/pure-linen-fabrics-yellow,https://organolinen.com/products/rino-linen-shirt-men-tan,
SHIRTING,Flax,Yellow,18 November 2024,,,https://organolinen.com/products/camden-linen-printed-shirt-floral,
SHIRTING,Mango,Yellow,24 February 2025,For ARCHIVING,,https://organolinen.com/products/green-linen-printed-custom-shirt,
SHIRTING,Citrine,Yellow,18 November 2024,,,https://organolinen.com/products/white-printed-linen-shirt-men,
SHIRTING,Dandelion,Yellow,24 February 2025,LIVE,https://organolinen.com/products/pure-linen-fabrics-yellow-1,https://organolinen.com/products/nautical-blue-print-shirts-microprint,
SHIRTING,Marigold,Yellow,24 February 2025,LIVE,https://organolinen.com/products/pure-linen-fabrics-yellow-1,https://organolinen.com/products/men-linen-shirt-aidan-brown,
SHIRTING,Honeyed,Yellow,18 November 2024,,,https://organolinen.com/products/mens-linen-shirt-ramy,
SHIRTING,Pumpkin,Peach,24 February 2025,LIVE,https://organolinen.com/products/peach-shirting-linen-fabric,https://organolinen.com/products/mens-linen-shirt-blue-harbor,
SHIRTING,carrot,Peach,24 February 2025,LIVE,https://organolinen.com/products/peach-shirting-linen-fabric,https://organolinen.com/products/evie-linen-kurta-shirt,
SHIRTING,Coral,Peach,24 February 2025,For ARCHIVING,,https://organolinen.com/products/cord-set-hugo-concord,https://organolinen.com/search?q=coral&options%5Bprefix%5D=last
SHIRTING,Wheat,Peach,24 February 2025,LIVE,https://organolinen.com/products/peach-shirting-linen-fabric,https://organolinen.com/products/mens-linen-shirt-yellow-sunny,
SHIRTING,Apricot,Peach,24 February 2025,LIVE,https://organolinen.com/products/peach-shirting-linen-fabric,https://organolinen.com/products/myst-pure-linen-shirt,
SHIRTING,Sandalwood,Peach,24 February 2025,LIVE,https://organolinen.com/products/peach-shirting-linen-fabric,https://organolinen.com/products/cord-set-echo-vista,
SHIRTING,Shadow,Black / Shadow,18 November 2024,,,https://organolinen.com/products/mens-linen-shirt-jazz-green,
SHIRTING,Slate(LIVID),Black / Shadow,18 November 2024,,,https://organolinen.com/products/mens-linen-shortsleeve-shirt-vista,
SHIRTING,Dark Cobalt,Black / Shadow,18 November 2024,,,https://organolinen.com/products/mens-linen-heavy-shirt-raven,
SHIRTING,Steel Sea,Black / Shadow,18 November 2024,,,https://organolinen.com/products/mens-linen-shirt-ember-red,
SHIRTING,Vin,Fall-Red,18 November 2024,,,https://organolinen.com/products/merry-linen-shirt,
SHIRTING,Eclat,Fall-Red,24 February 2025,LIVE,https://organolinen.com/products/fall-colors-warm-shirting-fabric,https://organolinen.com/products/sunny-women-linen-shirt-yellow,
SHIRTING,Doree,Fall-Red,24 February 2025,LIVE,https://organolinen.com/products/fall-colors-warm-shirting-fabric,https://organolinen.com/products/womens-linen-shirt-harbor-blue,
SHIRTING,Solaire,Fall-Red,24 February 2025,LIVE,https://organolinen.com/products/fall-colors-warm-shirting-fabric,https://organolinen.com/products/womens-classic-white-linen-shirt,
SHIRTING,Flamme,Fall-Red,24 February 2025,LIVE,https://organolinen.com/products/fall-colors-warm-shirting-fabric,https://organolinen.com/products/men-white-linen-shirt-cloud,
SHIRTING,Tangerine,Fall-Red,24 February 2025,LIVE,https://organolinen.com/products/fall-colors-warm-shirting-fabric,https://organolinen.com/products/womens-linen-shirt-jazz,
SHIRTING,Menthe,Green-Yellow,17 February 2025,LIVE,https://organolinen.com/products/fresh-pure-linen-fabric-green,https://organolinen.com/products/cacade-cord-outfit-men,https://organolinen.com/search?q=menthe&options%5Bprefix%5D=last
SHIRTING,Zeste,Green-Yellow,17 February 2025,LIVE,https://organolinen.com/products/fresh-pure-linen-fabric-green,https://organolinen.com/products/womens-pink-linen-shirt-autumn,
SHIRTING,Citron,Green-Yellow,17 February 2025,LIVE,https://organolinen.com/products/fresh-pure-linen-fabric-green,https://organolinen.com/products/mens-pumpkin-autumn-shirt-halloween,
SHIRTING,Ambre,Green-Yellow,17 February 2025,LIVE,https://organolinen.com/products/fresh-pure-linen-fabric-green,https://organolinen.com/products/ladies-linen-shirt-ember,
SHIRTING,Jaune,Green-Yellow,17 February 2025,LIVE,https://organolinen.com/products/fresh-pure-linen-fabric-green,https://organolinen.com/products/mens-linen-shirt-jute-feather,
SHIRTING,White Grains,White,24 February 2025,LIVE,#N/A,https://organolinen.com/products/womens-yellow-linen-shirt-halo,
SHIRTING,White Floral,White,18 November 2024,,,https://organolinen.com/products/men-monogram-shirt-signature-linen,
SHIRTING,White Spot,White,18 November 2024,,,https://organolinen.com/products/custom-monogram-linen-shirt-women,
SHIRTING,White Line,White,18 November 2024,,,https://organolinen.com/products/mens-fall-linen-shirt-willow,
SHIRTING,White Plain,White,24 February 2025,LIVE,#N/A,https://organolinen.com/products/womens-heavy-linen-shirt-willow,
SHIRTING,WoodlandPlaid,Plaid Check,24 February 2025,LIVE,#N/A,https://organolinen.com/products/womens-heavy-linen-shirt-raven,
SHIRTING,OakPlaid,Plaid Check,24 February 2025,LIVE,#N/A,https://organolinen.com/products/womens-heavy-linen-shirt-canvas,
SHIRTING,SakuraCross,Plaid Check,24 February 2025,LIVE,#N/A,https://organolinen.com/products/mens-heavy-linen-shirt-canvas,
SHIRTING,BarkPlaid,Plaid Check,24 February 2025,LIVE,#N/A,https://organolinen.com/products/pure-linen-shirt-women-sasha,
SHIRTING,Digital Abstract Print on Black base,PRINT,24 February 2025,For ARCHIVING,,https://organolinen.com/products/linen-shirt-men-concord-pure-linen,
SHIRTING,Digital Abstract Print on Forrest Green base,PRINT - STUDIO,16 November 2024,,,https://organolinen.com/products/womens-linen-shirt-concord-purelinen,
SHIRTING,Digital Ankara Print on Cream base,PRINT,18 November 2024,,,https://organolinen.com/products/ezra-linen-cuff-shirt,
SHIRTING,Digital Floral Print,PRINT,18 November 2024,,,https://organolinen.com/products/myra-sleeveless-linen-shirt,
SHIRTING,Digital Floral Print on brown base,PRINT,16 November 2024,,,https://organolinen.com/products/tanya-linen-shirt-women,
SHIRTING,Digital Floral Print on Red base,PRINT,24 February 2025,For ARCHIVING,,https://organolinen.com/products/mens-linen-shirt-green-forrest,
SHIRTING,Digital Floral Print on Sky Blue base,PRINT,18 November 2024,,,https://organolinen.com/products/rino-linen-shirt-men-tan,
SHIRTING,Digital Floral Print on White base,PRINT,24 February 2025,LIVE,#N/A,https://organolinen.com/products/camden-linen-printed-shirt-floral,
SHIRTING,Digital Floral Print on White base,PRINT,24 February 2025,LIVE,#N/A,https://organolinen.com/products/green-linen-printed-custom-shirt,
